SE,drugA,drugB
C0020649,ceftazidime,gabapentin
C0032285,doxazosin,repaglinide
C0020649,minoxidil,paricalcitol
C0020649,benazepril,tadalafil
C0027497,hydromorphone,ICL670
C0027497,celecoxib,mefenamic acid
C0011991,metoprolol,ticlopidine
C0020649,aspirin,cephalexin
C0004093,buspirone,GGG
C0002871,buspirone,granisetron
C0020649,aspirin,celecoxib
C0013404,clindamycin,diazepam
C0002871,abacavir,buprenorphine
C0002871,thalidomide,nateglinide
C0030193,solifenacin succinate,nystatin
C0011991,KCl,tenofovir disoproxil fumarate
C0020649,hydrochlorothiazide,voriconazole
C0020649,furosemide,ranitidine
C0027497,pioglitazone,scopolamine
C0020649,cephalexin,sertraline
C0013404,norethisterone,omeprazole
C0020649,norethisterone,ondansetron
C0020649,cytosine arabinoside,ganciclovir
C0002871,quazepam,quetiapine
C0002871,glimepiride,prochlorperazine
C0004093,norethisterone,orlistat
C0002871,azithromycin,docetaxel
C0002871,alprazolam,anastrozole
C0020649,amitriptyline,carboplatin
C0002871,candesartan,famotidine
C0020649,butorphanol,topiramate
C0020649,gabapentin,nefazodone
C0020649,ribavirin,lactulose
C0020649,clonazepam,olopatadine
C0020649,nalbuphine,duloxetine
C0020649,temazepam,atomoxetine
C0013404,doxazosin,oxcarbazepine
C0015672,naproxen,nitrofurantoin
C0002871,alendronate,entacapone
C0002871,paclitaxel,bleomycin
C0020649,dextromethorphan,ondansetron
C0032285,dextromethorphan,omeprazole
C0020649,ranitidine,duloxetine
C0004604,atenolol,tenofovir disoproxil fumarate
C0002871,mannitol,cinacalcet
C0020649,ranitidine,tiotropium
C0020649,lidocaine,risedronate
C0027497,irbesartan,triamcinolone
C0015967,methocarbamol,prednisolone
C0002871,naproxen,thiothixene
C0442874,hydrocortisone butyrate,ribavirin
C0002871,itraconazole,propofol
C0013404,nicotinic acid,loperamide
C0020649,nicotinic acid,loratadine
C0002871,nicotinic acid,lorazepam
C0002871,pyrazinamide,aspirin
C0020649,latanoprost,carboplatin
C0020649,oxycodone,prednisolone
C0020649,baclofen,cephalexin
C0027497,felodipine,pregabalin
C0020649,fluvastatin,spironolactone
C0015967,glimepiride,acarbose
C0020649,ranitidine,almotriptan
C0020649,bumetanide,sucralfate
C0020649,etodolac,isosorbide-5-mononitrate
C0013404,heparin,salmeterol
C0020649,fluoxetine,rofecoxib
C0022660,octreotide,sucralfate
C0020649,acetaminophen,tetracycline
C0020649,methylphenidate,pravastatin
C0002871,pioglitazone,ropinirole
C0020649,calcitriol,itraconazole
C0020649,ceftriaxone,lamivudine
C0015672,lorazepam,fosamprenavir
C0020649,salbutamol,voriconazole
C0020649,carbamazepine,fluvoxamine
C0020649,methylphenidate,pramipexole
C0020649,docetaxel,metronidazole
C0020649,docetaxel,metoprolol
C0002871,bumetanide,methylprednisolone
C0020649,dolasetron,lovastatin
C0042963,pyrazinamide,metoclopramide
C0020649,atropine,zoledronic acid
C0011991,docetaxel,mexiletine
C0002871,cerivastatin,isosorbide-5-mononitrate
C0020649,losartan,quetiapine
C0020649,losartan,quinapril
C0015230,atorvastatin,dutasteride
C0020649,paclitaxel,promethazine
C0042963,abacavir,clindamycin
C0002871,diltiazem,dipyridamole
C0020649,fentanyl,dutasteride
C0002871,losartan,methylprednisolone
C0013404,methyldopa,quetiapine
C0000737,quinidine,telmisartan
C0027497,econazole,lisinopril
C0020649,fluoxetine,triazolam
C0002871,letrozole,prednisone
C0020649,carisoprodol,famciclovir
C0020649,carisoprodol,famotidine
C0032285,lincomycin,spironolactone
C0002871,efavirenz,enalapril
C0020649,amoxicillin,norfloxacin
C0015967,zoledronic acid,SU11248
C0002871,salbutamol,pemetrexed
C0020649,vancomycin,lenalidomide
C0004093,doxycycline,levonorgestrel
C0020649,thyroxine,bimatoprost
C0020649,calcitriol,vitamin D
C0002871,amikacin,fluconazole
C0020649,amikacin,fludarabine
C0030305,leflunomide,mycophenolic acid
C0042963,oseltamivir,simvastatin
C0020649,furosemide,5-aminosalicylic acid
C0020649,tamsulosin,paricalcitol
C0002871,acyclovir,oxazepam
C0002871,methylprednisolone,progesterone
C0027497,lamivudine,cinacalcet
C0002871,benazepril,aripiprazole
C0020649,memantine,megestrol
C0002871,methylprednisolone,promethazine
C0027497,epinephrine,rizatriptan
C0002871,didanosine,mefenamic acid
C0020649,mannitol,cefazolin
C0002871,rofecoxib,vardenafil
C0020649,atropine,calcium chloride
C0020649,brimonidine,pamidronate
C0015967,thalidomide,medroxyprogesterone
C0002871,brimonidine,pantoprazole
C0027497,cephalexin,vincristine
C0032285,alprazolam,famciclovir
C0020649,alprazolam,famotidine
C0398353,diclofenac,glatiramer acetate
C0011991,olmesartan medoxomil,sucralfate
C0020649,lidocaine,pantoprazole
C0020649,carisoprodol,meperidine
C0018802,dolasetron,irinotecan
C0020649,lidocaine,pancuronium
C0002871,lidocaine,pamidronate
C0013404,azithromycin,rofecoxib
C0020649,azithromycin,ropinirole
C0020649,carisoprodol,meloxicam
C0020649,prostacyclin,haloperidol
C0020649,cetirizine,pioglitazone
C0002871,cetirizine,pindolol
C0020649,cetirizine,fluticasone
C0015967,calcipotriol,meloxicam
C0020649,phenytoin,diltiazem
C0020649,orlistat,rizatriptan
C0011991,valproic acid,pimecrolimus
C0013404,ipratropium bromide,bimatoprost
C0002871,vitamin B12,sulfasalazine
C0020649,pramipexole,sevelamer
C0002871,carbamazepine,olmesartan medoxomil
C0020649,brimonidine,nystatin
C0002871,metformin,cefdinir
C0020649,estradiol,indomethacin
C0020649,clonazepam,KCl
C0011991,naltrexone,nevirapine
C0020649,atenolol,progesterone
C0002871,furosemide,labetalol
C0027497,clomipramine,ranitidine
C0002871,clomipramine,ramipril
C0002871,monamine,rabeprazole
C0002871,mannitol,nitroglycerin
C0595939,mannitol,nizatidine
C0020649,isosorbide-5-mononitrate,solifenacin succinate
C0020649,digoxin,meprobamate
C0002871,alprazolam,meperidine
C0020649,diazepam,cisatracurium
C0020649,nitroglycerin,ribavirin
C0002871,paroxetine,acamprosate
C0032285,alprazolam,memantine
C0020649,acyclovir,cimetidine
C0020649,alprazolam,meloxicam
C0020649,cefazolin,metoclopramide
C0027497,famciclovir,ipratropium bromide
C0020649,bumetanide,tamsulosin
C0020649,prostacyclin,lansoprazole
C0032285,spironolactone,etomidate
C0008033,brimonidine,chlorthalidone
C0020649,sulfate,mometasone
C0011991,sumatriptan,timolol
C0020649,cyclosporine,octreotide
C0020649,fexofenadine,sertraline
C0020615,ibandronate,SU11248
C0030193,citalopram,imiquimod
C0002871,propranolol,dutasteride
C0013404,mitoxantrone,modafinil
C0002871,hydrochlorothiazide,nadolol
C0013404,fosinopril,nitroglycerin
C0020649,danazol,tamsulosin
C0020649,acebutolol,acenocoumarol
C0027497,clopidogrel,galantamine
C0002871,PGE2,synthetic oxytocin
C0020649,clopidogrel,gabapentin
C0020649,diltiazem,fluticasone
C0002871,labetalol,zolpidem
C0013404,fluconazole,NaCl
C0008033,clopidogrel,furosemide
C0002871,brimonidine,gentamicin
C0013404,rofecoxib,sotalol
C0002871,brimonidine,gemfibrozil
C0002871,brimonidine,gemcitabine
C0012833,efavirenz,pyrimethamine
C0020649,torasemide,treprostinil
C0015672,latanoprost,medroxyprogesterone
C0009676,oxcarbazepine,solifenacin succinate
C0002871,amoxicillin,zidovudine
C0030193,calcium,nicotinic acid
C0020649,mannitol,ursodeoxycholic acid
C0020649,bisoprolol,ciprofloxacin
C0020649,bupropion,neomycin
C0020649,clopidogrel,dutasteride
C0020649,epinephrine,ketorolac
C0041657,butorphanol,chlorzoxazone
C0027497,methotrexate,pramipexole
C0020649,haloperidol,venlafaxine
C0020649,doxorubicin,methylphenidate
C0020649,doxorubicin,methylprednisolone
C0020649,oxybutynin,simvastatin
C0020649,celecoxib,modafinil
C0013404,diclofenac,paroxetine
C0020649,vitamin B12,hydroxychloroquine
C0002871,ranitidine,isosorbide-5-mononitrate
C0020649,doxorubicin,nifedipine
C0020649,prostaglandin E1,hydrochlorothiazide
C0020649,clindamycin,prednisolone
C0013404,quinidine,mometasone
C0020649,baclofen,olmesartan medoxomil
C0027497,abacavir,fexofenadine
C0020649,salbutamol,amitriptyline
C0002871,epsilon-aminocaproic acid,lansoprazole
C0002871,salbutamol,amlodipine
C0013404,nitrofurantoin,risperidone
C0013404,citalopram,ipratropium bromide
C0002871,nitrofurantoin,ritonavir
C0013404,nitrofurantoin,rivastigmine
C0027497,clomipramine,dihydroergotamine
C0004093,clomipramine,digoxin
C0030193,paroxetine,cefdinir
C0020649,temazepam,tamsulosin
C0032285,enalapril,iodixanol
C0015672,metoprolol,acarbose
C0002871,cinacalcet,Lambda
C0020649,carisoprodol,rofecoxib
C0020649,fluconazole,methadone
C0027497,carisoprodol,ropinirole
C0020649,azithromycin,meperidine
C0027497,famciclovir,probenecid
C0027497,naproxen,ethambutol
C0002871,nortriptyline,risedronate
C0027497,acetazolamide,doxycycline
C0020649,famciclovir,prochlorperazine
C0398353,lamotrigine,quetiapine
C0013404,lamotrigine,quinapril
C0020649,levetiracetam,sorafenib
C0020649,cromolyn,duloxetine
C0020649,bupropion,labetalol
C0015672,oxaliplatin,duloxetine
C0020649,fluconazole,repaglinide
C0002871,oxaliplatin,tiotropium
C0085649,fluconazole,levonorgestrel
C0002871,fluconazole,nortriptyline
C0002871,linezolid,morphine
C0008031,GGG,methocarbamol
C0013604,mitoxantrone,pioglitazone
C0020649,amoxicillin,hydroxyzine
C0013404,didanosine,pregabalin
C0020649,clonidine,lactulose
C0002871,doxorubicin,ceftriaxone
C0027497,famotidine,nitrazepam
C0002871,candesartan,gabapentin
C0020649,candesartan,furosemide
C0002871,doxorubicin,ceftazidime
C0013404,glipizide,simvastatin
C0020649,thalidomide,rosiglitazone
C0020649,candesartan,galantamine
C0002871,famotidine,nitrofurantoin
C0002871,doxorubicin,cefuroxime
C0020649,alprazolam,rofecoxib
C0002871,glibenclamide,hydroxychloroquine
C0020649,alprazolam,ropinirole
C0002871,nitroglycerin,triazolam
C0032285,chlorhexidine,modafinil
C0002871,fexofenadine,lithium
C0002871,quinapril,terbinafine
C0020649,fexofenadine,naratriptan
C0002871,diazepam,dofetilide
C0002871,docetaxel,rofecoxib
C0002871,heparin,cefuroxime
C0002871,N-acetylcysteine,chlorhexidine
C0020649,imipramine,KCl
C0011991,heparin,ceftriaxone
C0002871,heparin,ceftazidime
C0002871,azithromycin,sulfasalazine
C0002871,oxaliplatin,calcium chloride
C0020649,tamsulosin,fluticasone
C0030193,pioglitazone,perindopril
C0020649,risedronate,selenium sulfide
C0020649,nadolol,ursodeoxycholic acid
C0020649,gabapentin,atropine
C0013404,spironolactone,montelukast
C0020649,salbutamol,nabumetone
C0002871,estazolam,lithium
C0020649,chlorpromazine,ipratropium bromide
C0002871,pantoprazole,prednisolone
C0020649,cephalexin,oxazepam
C0002871,metolazone,dutasteride
C0020649,cephalexin,oxaprozin
C0013404,alfuzosin,pregabalin
C0020649,metformin,promethazine
C0020649,orlistat,rosiglitazone
C0020649,doxorubicin,sumatriptan
C0002871,prochlorperazine,vincristine
C0020649,quinapril,sertraline
C0020649,cyclosporine,haloperidol
C0002871,thyroxine,palonosetron
C0027497,cromolyn,tiotropium
C0020649,clonazepam,metformin
C0030193,alfuzosin,budesonide
C0027497,clonazepam,methadone
C0020649,acyclovir,octreotide
C0020649,carvedilol,chlorhexidine
C0013404,carnitine,paricalcitol
C0020649,eletriptan,rosuvastatin
C0085649,indapamide,goserelin
C0002871,acetaminophen,vinblastine
C0002871,celecoxib,temazepam
C0002871,etoposide,voriconazole
C0002871,metformin,progesterone
C0013404,lidocaine,capecitabine
C0013404,theophylline,loratadine
C0020649,zolpidem,pregabalin
C0003123,vitamin B12,pindolol
C0020649,vitamin B12,pioglitazone
C0011615,finasteride,pimecrolimus
C0020649,phenytoin,piperacillin
C0020649,clopidogrel,NaCl
C0002871,letrozole,valsartan
C0027497,ranitidine,exemestane
C0002871,letrozole,venlafaxine
C0020649,hydromorphone,triamcinolone
C0027497,calcipotriol,pravastatin
C0020649,tamsulosin,perindopril
C0027497,meloxicam,glatiramer acetate
C0027497,etodolac,ribavirin
C0002871,lovastatin,sevelamer
C0013404,prednisolone,dutasteride
C0013404,nicotine,doxepin
C0020649,salbutamol,auranofin
C0020649,glibenclamide,pentoxifylline
C0020649,rofecoxib,sucralfate
C0027051,lidocaine,alfentanil
C0020649,alprazolam,KCl
C0027497,scopolamine,rosuvastatin
C0002871,nicotine,doxazosin
C0002871,lisinopril,adefovir dipivoxil
C0020649,fluconazole,tacrolimus
C0002871,budesonide,ibandronate
C0002871,leflunomide,tramadol
C0013404,budesonide,ziprasidone
C0013404,hydromorphone,labetalol
C0020649,fexofenadine,imipramine
C0027497,tiagabine,rosiglitazone
C0013404,miconazole,lactulose
C0020649,bupropion,alosetron
C0027497,mannitol,lansoprazole
C0002871,atorvastatin,gefitinib
C0032285,KCl,aripiprazole
C0020649,bupropion,alfuzosin
C0002871,mexiletine,pravastatin
C0008033,clozapine,thiothixene
C0015672,glimepiride,lamotrigine
C0020649,bupropion,palonosetron
C0030193,anastrozole,exemestane
C0002871,bicalutamide,doxazosin
C0398353,disulfiram,linezolid
C0020649,sertraline,warfarin
C0013404,trospium chloride,tegaserod
C0002871,isoflurane,paroxetine
C0020649,duloxetine,cefdinir
C0002871,cefprozil,fluticasone
C0020649,lamotrigine,rosiglitazone
C0002871,sulfate,labetalol
C0020649,nisoldipine,tramadol
C0020649,cabergoline,trazodone
C0020649,amitriptyline,captopril
C0020649,alendronate,fexofenadine
C0020649,lovastatin,oseltamivir
C0042029,donepezil,dofetilide
C0020649,lovastatin,oxaliplatin
C0002871,modafinil,oxazepam
C0020649,iopromide,metformin
C0020649,alendronate,fentanyl
C0020649,citalopram,cyclophosphamide
C0013404,metformin,tolterodine
C0020649,metformin,topiramate
C0020649,dexamethasone,pindolol
C0002871,dexamethasone,pioglitazone
C0020649,benazepril,zoledronic acid
C0002871,citalopram,cyclosporine
C0013404,verapamil,glibenclamide
C0002871,hydrochlorothiazide,sildenafil
C0013404,spironolactone,dobutamine
C0002871,disopyramide,donepezil
C0020649,itraconazole,tamsulosin
C0020649,salbutamol,oxybutynin
C0020649,ramipril,duloxetine
C0013404,nicotine,baclofen
C0020649,indomethacin,tenofovir disoproxil fumarate
C0013404,naproxen,clomipramine
C0020649,epinephrine,cyclobenzaprine
C0013404,atenolol,exemestane
C0032285,glimepiride,lamivudine
C0027497,valsartan,zidovudine
C0002871,clonidine,ondansetron
C0020649,clonidine,omeprazole
C0020649,KCl,sucralfate
C0027497,brimonidine,ibandronate
C0008033,brimonidine,ziprasidone
C0020649,clonidine,orlistat
C0020649,triiodothyronine,ibuprofen
C0002871,foscarnet,ganciclovir
C0002871,alosetron,famotidine
C0020649,vitamin B12,metronidazole
C0020649,vitamin B12,metolazone
C0020649,vitamin B12,metoprolol
C0020649,flecainide,memantine
C0013404,tramadol,clobetasol
C0011991,vitamin B12,mexiletine
C0020649,captopril,propranolol
C0020649,ibuprofen,nifedipine
C0002871,captopril,propofol
C0009676,doxazosin,ertapenem
C0020649,digoxin,rivastigmine
C0027497,digoxin,ritonavir
C0020649,linezolid,sufentanil
C0020649,digoxin,risperidone
C0002871,amlodipine,darifenacin
C0002871,gatifloxacin,pimecrolimus
C0020649,folate,oxazepam
C0027497,orlistat,valdecoxib
C0002871,clonidine,digoxin
C0042963,acebutolol,adefovir dipivoxil
C0002871,sertraline,SU11248
C0020649,N-acetylcysteine,prednisone
C0002871,valproic acid,piperacillin
C0002871,ganciclovir,loperamide
C0020649,fenofibrate,trazodone
C0020649,bupropion,diflunisal
C0020649,ceftazidime,piperacillin
C0002871,cyclosporine,rapamycin
C0002871,fenofibrate,retinoic acid
C0030193,phenelzine,topiramate
C0013404,EHDP,fluticasone
C0027497,folate,oxcarbazepine
C0027497,fluoxetine,olopatadine
C0020649,meperidine,nalbuphine
C0027497,cabergoline,temazepam
C0027497,etodolac,prednisolone
C0020649,hydroxyurea,prednisolone
C0020649,mannitol,paclitaxel
C0020649,naproxen,atazanavir
C0002871,labetalol,valganciclovir
C0020649,latanoprost,letrozole
C0020649,clindamycin,lactulose
C0020649,phenytoin,olanzapine
C0032285,phenytoin,ofloxacin
C0002871,NaCl,spironolactone
C0002871,bumetanide,dicyclomine
C0013404,citalopram,almotriptan
C0027497,captopril,galantamine
C0085649,norfloxacin,imatinib
C0013404,sulfate,lenalidomide
C0020649,thyroxine,salbutamol
C0020649,brimonidine,buspirone
C0020649,tadalafil,ezetimibe
C0013404,captopril,nimodipine
C0032285,captopril,furosemide
C0020649,thyroxine,alendronate
C0020649,captopril,gabapentin
C0002871,brimonidine,bumetanide
C0002871,cyclophosphamide,dasatinib
C0020649,ribavirin,telmisartan
C0020649,cyclobenzaprine,erythromycin
C0027497,hydrochlorothiazide,telithromycin
C0020649,sildenafil,travoprost
C0032227,methotrexate,paroxetine
C0013404,benazepril,meloxicam
C0020649,meloxicam,methylprednisolone
C0020649,5-aminosalicylic acid,promethazine
C0020649,budesonide,mirtazapine
C0015672,5-aminosalicylic acid,progesterone
C0085649,ketorolac,terbinafine
C0020649,venlafaxine,pregabalin
C0020649,donepezil,nadolol
C0002871,ciprofloxacin,neomycin
C0018802,2-chlorodeoxyadenosine,vincristine
C0020649,pyridostigmine,zoledronic acid
C0002871,doxepin,ofloxacin
C0030193,doxazosin,ziprasidone
C0020649,phenytoin,meloxicam
C0002871,isosorbide dinitrate,zafirlukast
C0027497,triiodothyronine,ropinirole
C0002871,propranolol,perindopril
C0020649,mefenamic acid,propranolol
C0020649,triiodothyronine,rofecoxib
C0004604,amiodarone,hydroxyzine
C0020649,desipramine,gabapentin
C0020649,desipramine,furosemide
C0027497,prochlorperazine,misoprostol
C0398353,budesonide,triazolam
C0013404,metformin,mupirocin
C0020649,cimetidine,olanzapine
C0085649,perindopril,bosentan
C0020649,cimetidine,ofloxacin
C0020456,EHDP,risperidone
C0013404,prochlorperazine,sorafenib
C0002871,dapsone,oxandrolone
C0020649,bupropion,lactulose
C0020649,flecainide,rofecoxib
C0020649,vitamin D,testosterone
C0020649,triiodothyronine,propranolol
C0020649,danazol,lenalidomide
C0013404,carvedilol,trospium chloride
C0020649,risedronate,triamcinolone
C0013404,dexamethasone,sibutramine
C0002871,meloxicam,ursodeoxycholic acid
C0002871,sodium bicarbonate,voriconazole
C0002871,meloxicam,valacyclovir
C0030193,clopidogrel,econazole
C0085649,doxazosin,ibandronate
C0020649,nisoldipine,isosorbide-5-mononitrate
C0027497,NaCl,lenalidomide
C0020649,acetaminophen,cyclobenzaprine
C0002871,heparin,letrozole
C0013404,ibuprofen,tiagabine
C0151825,captopril,zidovudine
C0011991,torasemide,paricalcitol
C0002871,pamidronate,bimatoprost
C0020649,tacrolimus,bosentan
C0020649,mirtazapine,duloxetine
C0013404,cerivastatin,doxepin
